vendor_id,tax_period,total_itc_claimed,itc_matched,itc_at_risk,leakage_percentage,aging_bucket
VND01263,2023-Q2,258954,24849,234105,90.4,60+
VND00060,2023-Q3,233109,151548,81561,34.99,60+
VND00333,2023-Q1,436521,109221,327300,74.98,0-30
VND04882,2023-Q3,296428,131056,165372,55.79,31-60
VND00339,2023-Q3,334428,74931,259497,77.59,60+
VND01153,2023-Q3,427645,191398,236247,55.24,0-30
VND04998,2023-Q1,269100,108214,160886,59.79,0-30
VND03121,2023-Q1,398663,360861,37802,9.48,60+
VND00751,2023-Q1,80378,48439,31939,39.74,31-60
VND02586,2023-Q2,410843,239704,171139,41.66,31-60
VND00465,2023-Q2,295588,163212,132376,44.78,60+
VND04339,2023-Q1,199793,174420,25373,12.7,60+
VND02094,2023-Q2,323924,42821,281103,86.78,0-30
VND00642,2023-Q3,210362,84773,125589,59.7,60+
VND03738,2023-Q1,399617,165174,234443,58.67,0-30
VND02980,2023-Q2,52474,22144,30330,57.8,60+
VND02305,2023-Q1,72239,58370,13869,19.2,0-30
VND01995,2023-Q1,121676,69250,52426,43.09,31-60
VND03106,2023-Q2,434294,163671,270623,62.31,31-60
VND00893,2023-Q3,62805,53924,8881,14.14,60+
VND00346,2023-Q2,121728,69190,52538,43.16,60+
VND02743,2023-Q2,362200,110700,251500,69.44,0-30
VND02897,2023-Q1,486666,472427,14239,2.93,60+
VND00982,2023-Q1,363542,125730,237812,65.42,60+
VND00535,2023-Q3,381128,277615,103513,27.16,60+
VND01452,2023-Q1,329322,160214,169108,51.35,0-30
VND04484,2023-Q2,260075,45458,214617,82.52,31-60
VND03909,2023-Q2,320608,74469,246139,76.77,0-30
VND00331,2023-Q3,354543,96050,258493,72.91,60+
VND00305,2023-Q1,317368,127381,189987,59.86,60+
VND00076,2023-Q3,242493,152343,90150,37.18,60+
VND04640,2023-Q3,164055,53566,110489,67.35,60+
VND02035,2023-Q2,241536,98040,143496,59.41,0-30
VND04494,2023-Q1,134083,118817,15266,11.39,60+
VND01881,2023-Q1,464259,81136,383123,82.52,31-60
VND03682,2023-Q3,256717,123338,133379,51.96,60+
VND04245,2023-Q1,445922,130045,315877,70.84,0-30
VND00311,2023-Q2,471132,364432,106700,22.65,0-30
VND04248,2023-Q2,297826,114582,183244,61.53,60+
VND04110,2023-Q1,436413,36467,399946,91.64,60+
VND04187,2023-Q3,214525,34968,179557,83.7,0-30
VND00668,2023-Q2,383852,131879,251973,65.64,0-30
VND04547,2023-Q1,427538,337523,90015,21.05,0-30
VND04305,2023-Q1,384111,330276,53835,14.02,60+
VND01834,2023-Q3,67020,55953,11067,16.51,31-60
VND00643,2023-Q2,435775,314173,121602,27.9,0-30
VND01301,2023-Q1,278327,119817,158510,56.95,0-30
VND00564,2023-Q1,63941,21218,42723,66.82,60+
VND04890,2023-Q2,144998,120386,24612,16.97,0-30
VND00276,2023-Q1,200361,29628,170733,85.21,31-60
VND03960,2023-Q3,477346,240639,236707,49.59,60+
VND03636,2023-Q1,71838,50738,21100,29.37,31-60
VND01175,2023-Q1,154396,127574,26822,17.37,60+
VND04652,2023-Q3,119937,71274,48663,40.57,60+
VND03420,2023-Q3,496532,66334,430198,86.64,60+
VND01317,2023-Q2,470139,304312,165827,35.27,60+
VND03205,2023-Q2,269137,63311,205826,76.48,31-60
VND00793,2023-Q1,314128,170760,143368,45.64,31-60
VND03492,2023-Q3,138985,98115,40870,29.41,0-30
VND04912,2023-Q1,135316,30621,104695,77.37,31-60
VND01436,2023-Q3,203915,27988,175927,86.27,60+
VND01877,2023-Q3,438055,171530,266525,60.84,0-30
VND00909,2023-Q3,129517,30471,99046,76.47,0-30
VND00831,2023-Q2,186222,116869,69353,37.24,60+
VND01222,2023-Q2,291892,103166,188726,64.66,60+
VND04621,2023-Q1,194272,96840,97432,50.15,0-30
VND04669,2023-Q1,143827,30961,112866,78.47,0-30
VND03554,2023-Q1,126656,118848,7808,6.16,0-30
VND04014,2023-Q3,389844,249166,140678,36.09,0-30
VND02458,2023-Q1,297019,31842,265177,89.28,0-30
VND02701,2023-Q1,371161,263597,107564,28.98,31-60
VND00954,2023-Q2,359982,83640,276342,76.77,60+
VND02973,2023-Q3,291401,135313,156088,53.56,0-30
VND01680,2023-Q3,312193,184498,127695,40.9,0-30
VND00448,2023-Q3,193032,73000,120032,62.18,31-60
VND04518,2023-Q2,394973,69753,325220,82.34,60+
VND03158,2023-Q1,177587,30241,147346,82.97,0-30
VND04373,2023-Q2,164274,160984,3290,2.0,0-30
VND00297,2023-Q1,217503,212282,5221,2.4,31-60
VND02346,2023-Q3,377960,70284,307676,81.4,31-60
VND00941,2023-Q3,141652,133602,8050,5.68,31-60
VND02077,2023-Q3,441884,322688,119196,26.97,31-60
VND04385,2023-Q3,330919,86502,244417,73.86,0-30
VND02867,2023-Q3,336207,174661,161546,48.05,31-60
VND04519,2023-Q2,80107,59732,20375,25.43,60+
VND00866,2023-Q1,178172,57617,120555,67.66,31-60
VND04787,2023-Q1,383751,187708,196043,51.09,60+
VND04750,2023-Q3,313986,277241,36745,11.7,60+
VND04729,2023-Q3,214952,106767,108185,50.33,60+
VND01764,2023-Q1,416125,31277,384848,92.48,60+
VND01974,2023-Q3,200947,143528,57419,28.57,0-30
VND01437,2023-Q2,440173,197527,242646,55.13,0-30
VND03512,2023-Q3,382403,105336,277067,72.45,0-30
VND00728,2023-Q2,110744,55719,55025,49.69,0-30
VND03482,2023-Q3,327806,257583,70223,21.42,60+
VND02891,2023-Q3,120936,106535,14401,11.91,60+
VND00697,2023-Q1,305601,252089,53512,17.51,60+
VND03311,2023-Q3,346644,102009,244635,70.57,31-60
VND03570,2023-Q2,282724,274734,7990,2.83,60+
VND00671,2023-Q2,193415,192543,872,0.45,60+
VND04718,2023-Q2,268709,108008,160701,59.8,31-60
VND03357,2023-Q1,62599,29246,33353,53.28,0-30
VND00132,2023-Q2,128811,37084,91727,71.21,0-30
VND04503,2023-Q3,65438,47059,18379,28.09,0-30
VND00129,2023-Q3,489221,245194,244027,49.88,60+
VND01798,2023-Q2,207163,157471,49692,23.99,60+
VND00268,2023-Q3,147023,70643,76380,51.95,31-60
VND00101,2023-Q3,97691,26115,71576,73.27,60+
VND03994,2023-Q3,257862,207325,50537,19.6,0-30
VND01823,2023-Q2,219425,92060,127365,58.04,0-30
VND02346,2023-Q1,123509,71175,52334,42.37,0-30
VND03677,2023-Q1,109033,63006,46027,42.21,0-30
VND00236,2023-Q3,55230,33602,21628,39.16,60+
VND03293,2023-Q1,247346,89782,157564,63.7,60+
VND03630,2023-Q3,416802,396222,20580,4.94,60+
VND00918,2023-Q2,117400,40742,76658,65.3,31-60
VND00980,2023-Q1,416646,397695,18951,4.55,60+
VND03854,2023-Q1,397242,165367,231875,58.37,60+
VND04223,2023-Q3,319637,312449,7188,2.25,31-60
VND03352,2023-Q2,100912,83932,16980,16.83,0-30
VND00780,2023-Q1,303536,66496,237040,78.09,31-60
VND03488,2023-Q2,331035,216591,114444,34.57,31-60
VND00124,2023-Q2,133081,66897,66184,49.73,60+
VND02282,2023-Q1,143642,63168,80474,56.02,31-60
VND02080,2023-Q1,193605,77119,116486,60.17,31-60
VND01454,2023-Q3,362429,136981,225448,62.2,0-30
VND03936,2023-Q2,479952,177680,302272,62.98,60+
VND04298,2023-Q2,143649,36756,106893,74.41,31-60
VND02072,2023-Q3,308690,89978,218712,70.85,60+
VND03486,2023-Q1,51873,51072,801,1.54,31-60
VND04869,2023-Q2,165448,121744,43704,26.42,31-60
VND01752,2023-Q1,420724,89657,331067,78.69,60+
VND01193,2023-Q2,294126,103742,190384,64.73,31-60
VND00535,2023-Q1,416985,240636,176349,42.29,31-60
VND02054,2023-Q3,473025,300159,172866,36.54,0-30
VND04696,2023-Q3,87925,82275,5650,6.43,0-30
VND01231,2023-Q2,124208,65265,58943,47.46,60+
VND01575,2023-Q3,192324,38576,153748,79.94,60+
VND04572,2023-Q2,352649,337941,14708,4.17,0-30
VND02272,2023-Q2,318507,121839,196668,61.75,60+
VND03277,2023-Q3,211164,208687,2477,1.17,60+
VND03788,2023-Q2,63188,37524,25664,40.62,31-60
VND01296,2023-Q3,211083,185993,25090,11.89,60+
VND01221,2023-Q2,54950,37665,17285,31.46,0-30
VND04385,2023-Q2,206308,94258,112050,54.31,0-30
VND04364,2023-Q3,110381,51325,59056,53.5,31-60
VND02824,2023-Q3,193562,174642,18920,9.77,60+
VND02093,2023-Q3,178482,103011,75471,42.28,0-30
VND02014,2023-Q2,75741,21774,53967,71.25,60+
VND00416,2023-Q1,210743,170707,40036,19.0,0-30
VND00743,2023-Q1,384833,83565,301268,78.29,31-60
VND00049,2023-Q3,296725,23087,273638,92.22,60+
VND00247,2023-Q2,257899,108137,149762,58.07,31-60
VND04871,2023-Q3,396917,283205,113712,28.65,31-60
VND00710,2023-Q2,425947,110844,315103,73.98,0-30
VND04446,2023-Q1,410743,332085,78658,19.15,60+
VND03074,2023-Q1,277415,69295,208120,75.02,31-60
VND01877,2023-Q1,102316,44486,57830,56.52,0-30
VND00674,2023-Q2,468462,285810,182652,38.99,31-60
VND02514,2023-Q3,315721,314379,1342,0.43,31-60
VND01338,2023-Q2,104832,30633,74199,70.78,0-30
VND00266,2023-Q1,447274,298571,148703,33.25,31-60
VND04517,2023-Q2,211601,40537,171064,80.84,0-30
VND00469,2023-Q2,168558,113824,54734,32.47,0-30
VND02608,2023-Q1,495513,310406,185107,37.36,31-60
VND01998,2023-Q2,408768,46142,362626,88.71,60+
VND04936,2023-Q1,246805,55697,191108,77.43,0-30
VND02201,2023-Q3,308614,254416,54198,17.56,31-60
VND00186,2023-Q3,313947,303973,9974,3.18,60+
VND01125,2023-Q1,156249,72589,83660,53.54,31-60
VND02470,2023-Q2,79199,30711,48488,61.22,60+
VND00141,2023-Q2,347210,119661,227549,65.54,60+
VND04236,2023-Q2,394672,235939,158733,40.22,0-30
VND00522,2023-Q3,402827,67811,335016,83.17,0-30
VND03716,2023-Q2,387892,319906,67986,17.53,31-60
VND04919,2023-Q2,460080,371604,88476,19.23,31-60
VND04130,2023-Q1,365878,285744,80134,21.9,31-60
VND00804,2023-Q1,336895,82121,254774,75.62,31-60
VND01140,2023-Q1,104020,100787,3233,3.11,0-30
VND00245,2023-Q3,110188,78765,31423,28.52,60+
VND01687,2023-Q1,87351,63535,23816,27.26,60+
VND01543,2023-Q2,459668,337504,122164,26.58,31-60
VND03318,2023-Q1,291358,257956,33402,11.46,60+
VND01148,2023-Q2,171338,58272,113066,65.99,0-30
VND04585,2023-Q2,208016,61127,146889,70.61,31-60
VND04546,2023-Q1,271939,39017,232922,85.65,0-30
VND03523,2023-Q1,309462,139406,170056,54.95,60+
VND01629,2023-Q3,355796,182233,173563,48.78,0-30
VND01449,2023-Q2,85558,70231,15327,17.91,31-60
VND01887,2023-Q2,65270,39020,26250,40.22,0-30
VND01719,2023-Q1,363530,193397,170133,46.8,31-60
VND01368,2023-Q3,358827,71892,286935,79.96,0-30
VND02002,2023-Q3,256596,217390,39206,15.28,0-30
VND00495,2023-Q1,351338,103958,247380,70.41,31-60
VND03056,2023-Q3,292385,87576,204809,70.05,0-30
VND00575,2023-Q2,293544,208416,85128,29.0,60+
VND00732,2023-Q1,452819,106668,346151,76.44,0-30
VND03191,2023-Q1,151277,148711,2566,1.7,31-60
VND00503,2023-Q1,183923,58203,125720,68.35,0-30
VND02614,2023-Q2,350837,158654,192183,54.78,0-30
VND04068,2023-Q3,251385,33236,218149,86.78,0-30
VND01569,2023-Q1,273638,80355,193283,70.63,0-30
VND01391,2023-Q2,269015,266098,2917,1.08,0-30
VND04060,2023-Q3,126022,95592,30430,24.15,31-60
VND01739,2023-Q1,320428,248043,72385,22.59,31-60
VND04693,2023-Q1,409244,245451,163793,40.02,0-30
VND02747,2023-Q3,79210,40499,38711,48.87,60+
VND03861,2023-Q1,69029,46279,22750,32.96,60+
VND01223,2023-Q3,159299,66446,92853,58.29,0-30
VND02312,2023-Q1,159299,48908,110391,69.3,0-30
VND04878,2023-Q3,287454,139351,148103,51.52,60+
VND04911,2023-Q1,354470,154579,199891,56.39,0-30
VND02564,2023-Q2,235201,216423,18778,7.98,60+
VND04559,2023-Q2,149702,124780,24922,16.65,60+
VND02441,2023-Q2,313312,291746,21566,6.88,60+
VND02064,2023-Q3,80258,59228,21030,26.2,0-30
VND02719,2023-Q3,265440,45411,220029,82.89,0-30
VND03407,2023-Q3,150711,97934,52777,35.02,31-60
VND00463,2023-Q1,282619,275195,7424,2.63,60+
VND03141,2023-Q3,447426,390949,56477,12.62,60+
VND00124,2023-Q1,305418,113588,191830,62.81,60+
VND03206,2023-Q1,98204,27350,70854,72.15,60+
VND02010,2023-Q3,344420,291740,52680,15.3,0-30
VND03501,2023-Q3,142037,137774,4263,3.0,0-30
VND03184,2023-Q3,51065,50838,227,0.44,0-30
VND00359,2023-Q1,71775,53725,18050,25.15,60+
VND01768,2023-Q1,52083,43252,8831,16.96,31-60
VND02847,2023-Q2,359895,132604,227291,63.15,0-30
VND00057,2023-Q3,387874,293728,94146,24.27,60+
VND00752,2023-Q3,398875,365150,33725,8.46,0-30
VND03163,2023-Q1,73867,47046,26821,36.31,0-30
VND03500,2023-Q3,274282,37241,237041,86.42,0-30
VND04584,2023-Q1,369217,41501,327716,88.76,31-60
VND03789,2023-Q1,257893,174799,83094,32.22,60+
VND00647,2023-Q2,269497,145005,124492,46.19,0-30
VND04405,2023-Q1,453558,95018,358540,79.05,0-30
VND01779,2023-Q2,221060,75816,145244,65.7,31-60
VND01576,2023-Q1,466679,298536,168143,36.03,31-60
VND04087,2023-Q2,384552,148278,236274,61.44,0-30
VND04444,2023-Q1,140512,28665,111847,79.6,31-60
VND03262,2023-Q1,52116,40157,11959,22.95,0-30
VND01827,2023-Q1,444544,293972,150572,33.87,31-60
VND00328,2023-Q1,313552,251245,62307,19.87,31-60
VND01208,2023-Q3,471773,37143,434630,92.13,0-30
VND02624,2023-Q3,361681,356418,5263,1.46,31-60
VND02119,2023-Q1,248809,124413,124396,50.0,60+
VND04148,2023-Q2,193019,135717,57302,29.69,31-60
VND04318,2023-Q2,62052,53835,8217,13.24,0-30
VND00630,2023-Q3,196806,101371,95435,48.49,60+
VND00615,2023-Q1,302322,264295,38027,12.58,0-30
VND00896,2023-Q3,431073,301679,129394,30.02,0-30
VND00330,2023-Q3,244854,196779,48075,19.63,0-30
VND04057,2023-Q1,279435,142788,136647,48.9,31-60
VND02932,2023-Q1,448027,32300,415727,92.79,31-60
VND03534,2023-Q1,228074,178160,49914,21.89,31-60
VND01186,2023-Q3,320789,257005,63784,19.88,31-60
VND01534,2023-Q1,405865,38522,367343,90.51,60+
VND02127,2023-Q1,71683,23307,48376,67.49,0-30
VND01406,2023-Q1,363151,158476,204675,56.36,0-30
VND04070,2023-Q1,417943,396337,21606,5.17,0-30
VND00678,2023-Q2,246593,160619,85974,34.86,0-30
VND04997,2023-Q1,437252,400747,36505,8.35,60+
VND03378,2023-Q1,416340,146954,269386,64.7,31-60
VND02873,2023-Q3,316872,178515,138357,43.66,60+
VND01331,2023-Q1,472838,39663,433175,91.61,0-30
VND01793,2023-Q1,137324,119603,17721,12.9,60+
VND03627,2023-Q3,172315,61523,110792,64.3,31-60
VND01951,2023-Q3,361402,358709,2693,0.75,31-60
VND00474,2023-Q3,409449,372311,37138,9.07,60+
VND00255,2023-Q1,110127,61864,48263,43.82,0-30
VND01582,2023-Q2,75954,29199,46755,61.56,0-30
VND03268,2023-Q3,186399,105109,81290,43.61,60+
VND03530,2023-Q3,119826,80107,39719,33.15,31-60
VND04977,2023-Q3,450509,60264,390245,86.62,31-60
VND03235,2023-Q1,65489,38202,27287,41.67,31-60
VND00258,2023-Q3,207121,37878,169243,81.71,31-60
VND00552,2023-Q2,425745,312828,112917,26.52,31-60
VND03970,2023-Q1,152770,104328,48442,31.71,0-30
VND00501,2023-Q3,246306,36715,209591,85.09,60+
VND02506,2023-Q3,476229,73813,402416,84.5,60+
VND01859,2023-Q1,115875,35159,80716,69.66,31-60
VND02404,2023-Q3,143328,87793,55535,38.75,60+
VND01675,2023-Q3,242598,162335,80263,33.08,31-60
VND01160,2023-Q2,109158,96562,12596,11.54,31-60
VND03603,2023-Q2,293931,257265,36666,12.47,60+
VND01585,2023-Q2,287041,216372,70669,24.62,0-30
VND04025,2023-Q2,396221,215302,180919,45.66,0-30
VND00592,2023-Q2,423058,169554,253504,59.92,0-30
VND04257,2023-Q1,125788,23243,102545,81.52,31-60
VND04225,2023-Q3,345352,119265,226087,65.47,31-60
VND02493,2023-Q2,226624,102057,124567,54.97,0-30
VND03233,2023-Q1,330831,192003,138828,41.96,60+
VND01393,2023-Q1,261383,105358,156025,59.69,0-30
VND04702,2023-Q1,301540,253590,47950,15.9,31-60
VND01670,2023-Q1,236435,190631,45804,19.37,31-60
VND03752,2023-Q3,116725,25232,91493,78.38,31-60
VND01500,2023-Q2,494485,172426,322059,65.13,31-60
VND01584,2023-Q1,439186,170240,268946,61.24,60+
VND00872,2023-Q3,467761,293174,174587,37.32,31-60
VND01509,2023-Q3,475908,474279,1629,0.34,0-30
VND01052,2023-Q3,353552,147032,206520,58.41,0-30
VND01154,2023-Q1,445097,429079,16018,3.6,0-30
VND02366,2023-Q3,133798,34912,98886,73.91,60+
VND00824,2023-Q2,402371,84321,318050,79.04,0-30
VND02916,2023-Q1,168653,30839,137814,81.71,31-60
VND01484,2023-Q1,203987,141306,62681,30.73,31-60
VND00225,2023-Q3,239992,181724,58268,24.28,60+
VND04874,2023-Q2,115779,60323,55456,47.9,31-60
VND01040,2023-Q2,78781,73356,5425,6.89,60+
VND01704,2023-Q2,358651,302429,56222,15.68,31-60
VND01323,2023-Q2,407981,83645,324336,79.5,31-60
VND02879,2023-Q2,349734,138016,211718,60.54,60+
VND03940,2023-Q3,292245,29776,262469,89.81,60+
VND04169,2023-Q3,147191,45142,102049,69.33,60+
VND01643,2023-Q1,61812,20440,41372,66.93,0-30
VND04130,2023-Q3,178507,72553,105954,59.36,60+
VND03377,2023-Q2,265856,41979,223877,84.21,60+
VND02148,2023-Q1,266876,30553,236323,88.55,0-30
VND01355,2023-Q1,458267,363724,94543,20.63,31-60
VND02286,2023-Q3,312578,281210,31368,10.04,60+
VND03763,2023-Q3,342825,65243,277582,80.97,0-30
VND04687,2023-Q1,400266,221469,178797,44.67,0-30
VND00983,2023-Q3,121166,106830,14336,11.83,60+
VND03430,2023-Q2,288504,125648,162856,56.45,60+
VND00493,2023-Q2,466812,335902,130910,28.04,0-30
VND04184,2023-Q3,120841,87494,33347,27.6,31-60
VND01987,2023-Q1,121834,61678,60156,49.38,60+
VND00331,2023-Q2,447243,278387,168856,37.75,31-60
VND03923,2023-Q1,123224,34546,88678,71.96,60+
VND00464,2023-Q1,310752,149130,161622,52.01,31-60
VND03613,2023-Q3,485890,256296,229594,47.25,0-30
VND04553,2023-Q1,104672,37345,67327,64.32,0-30
VND04322,2023-Q2,315221,271177,44044,13.97,31-60
VND01392,2023-Q2,306864,294558,12306,4.01,31-60
VND03280,2023-Q2,356983,74131,282852,79.23,31-60
VND01938,2023-Q1,199501,176908,22593,11.32,60+
VND02046,2023-Q3,467732,326291,141441,30.24,0-30
VND02075,2023-Q1,88536,75033,13503,15.25,0-30
VND02606,2023-Q2,102884,96514,6370,6.19,60+
VND00102,2023-Q3,80080,57572,22508,28.11,31-60
VND02953,2023-Q3,133013,128279,4734,3.56,31-60
VND00720,2023-Q2,404277,234159,170118,42.08,60+
VND00369,2023-Q3,224027,93846,130181,58.11,31-60
VND02212,2023-Q2,275595,61229,214366,77.78,0-30
VND03983,2023-Q2,448451,415049,33402,7.45,60+
VND02081,2023-Q2,293831,183176,110655,37.66,31-60
VND04365,2023-Q2,304466,84902,219564,72.11,60+
VND01104,2023-Q1,497264,223827,273437,54.99,0-30
VND02503,2023-Q1,436109,147805,288304,66.11,0-30
VND01063,2023-Q2,237470,39168,198302,83.51,0-30
VND02647,2023-Q2,179146,134077,45069,25.16,31-60
VND04925,2023-Q1,481756,90278,391478,81.26,0-30
VND03235,2023-Q3,66486,31509,34977,52.61,31-60
VND03284,2023-Q2,233322,179684,53638,22.99,60+
VND00689,2023-Q1,178439,169338,9101,5.1,60+
VND04392,2023-Q3,193676,23796,169880,87.71,60+
VND01280,2023-Q3,454121,207672,246449,54.27,31-60
VND04353,2023-Q2,215495,133207,82288,38.19,60+
VND04113,2023-Q3,219094,29895,189199,86.36,0-30
VND01929,2023-Q3,307238,127289,179949,58.57,60+
VND02992,2023-Q3,264936,236037,28899,10.91,31-60
VND03574,2023-Q2,451433,343274,108159,23.96,60+
VND00386,2023-Q1,192029,121752,70277,36.6,60+
VND01110,2023-Q1,170572,45322,125250,73.43,0-30
VND00801,2023-Q1,449076,275431,173645,38.67,60+
VND00520,2023-Q2,289305,210313,78992,27.3,0-30
VND01702,2023-Q2,85330,72878,12452,14.59,0-30
VND02479,2023-Q3,88104,68819,19285,21.89,60+
VND00131,2023-Q2,146540,75921,70619,48.19,60+
VND04676,2023-Q1,195426,57743,137683,70.45,0-30
VND01106,2023-Q3,127147,99623,27524,21.65,60+
VND00940,2023-Q3,328057,276741,51316,15.64,0-30
VND03902,2023-Q1,53017,42753,10264,19.36,31-60
VND01362,2023-Q2,69163,53173,15990,23.12,31-60
VND01415,2023-Q1,312982,220583,92399,29.52,31-60
VND01184,2023-Q2,150471,109717,40754,27.08,31-60
VND00134,2023-Q3,250900,21561,229339,91.41,60+
VND00934,2023-Q1,443964,218353,225611,50.82,31-60
VND00683,2023-Q3,122870,22994,99876,81.29,31-60
VND04732,2023-Q1,303844,239051,64793,21.32,0-30
VND03461,2023-Q2,143690,107931,35759,24.89,60+
VND02532,2023-Q1,485854,116810,369044,75.96,60+
VND03613,2023-Q3,376031,265512,110519,29.39,31-60
VND03699,2023-Q3,468776,27044,441732,94.23,31-60
VND03852,2023-Q2,154460,144724,9736,6.3,60+
VND00002,2023-Q1,280863,225592,55271,19.68,31-60
VND03847,2023-Q2,87272,67381,19891,22.79,0-30
VND02931,2023-Q1,89126,45434,43692,49.02,60+
VND03038,2023-Q3,459069,102273,356796,77.72,60+
VND03069,2023-Q1,329881,29123,300758,91.17,31-60
VND03976,2023-Q3,67041,41263,25778,38.45,0-30
VND00284,2023-Q3,192934,178268,14666,7.6,60+
VND00891,2023-Q3,81350,35204,46146,56.73,0-30
VND00357,2023-Q3,84022,50706,33316,39.65,0-30
VND03668,2023-Q1,380098,272972,107126,28.18,60+
VND04910,2023-Q2,124323,67105,57218,46.02,0-30
VND01628,2023-Q1,91608,66128,25480,27.81,60+
VND02064,2023-Q1,467373,23888,443485,94.89,60+
VND00845,2023-Q3,190684,155127,35557,18.65,60+
VND02485,2023-Q1,124234,47952,76282,61.4,60+
VND00328,2023-Q1,430161,328669,101492,23.59,60+
VND04867,2023-Q3,111054,63418,47636,42.89,60+
VND03489,2023-Q2,419169,379032,40137,9.58,60+
VND00711,2023-Q1,68367,64466,3901,5.71,60+
VND04837,2023-Q2,490816,163707,327109,66.65,31-60
VND02208,2023-Q1,263069,61973,201096,76.44,0-30
VND03814,2023-Q3,357710,276261,81449,22.77,0-30
VND00199,2023-Q2,51247,23799,27448,53.56,0-30
VND04963,2023-Q2,170526,153347,17179,10.07,0-30
VND02366,2023-Q2,416215,212855,203360,48.86,0-30
VND02978,2023-Q1,182465,158000,24465,13.41,60+
VND01329,2023-Q1,77196,46285,30911,40.04,31-60
VND00443,2023-Q3,259303,223653,35650,13.75,0-30
VND02597,2023-Q1,318392,64557,253835,79.72,31-60
VND03762,2023-Q1,234294,70859,163435,69.76,0-30
VND01634,2023-Q2,256325,205481,50844,19.84,31-60
VND04411,2023-Q1,453899,282901,170998,37.67,0-30
VND00674,2023-Q1,412681,105189,307492,74.51,31-60
VND03325,2023-Q2,223838,44281,179557,80.22,31-60
VND01399,2023-Q3,91956,20797,71159,77.38,60+
VND02821,2023-Q2,274040,74030,200010,72.99,31-60
VND02717,2023-Q2,295707,81593,214114,72.41,31-60
VND04062,2023-Q2,362212,218675,143537,39.63,31-60
VND03299,2023-Q1,99730,88164,11566,11.6,31-60
VND04628,2023-Q3,198224,60061,138163,69.7,31-60
VND01422,2023-Q3,424841,101182,323659,76.18,31-60
VND04118,2023-Q1,364802,71699,293103,80.35,0-30
VND02560,2023-Q1,345028,112905,232123,67.28,31-60
VND03822,2023-Q3,221532,43014,178518,80.58,31-60
VND01394,2023-Q1,301278,174785,126493,41.99,0-30
VND00166,2023-Q1,293279,40481,252798,86.2,0-30
VND04025,2023-Q3,271311,114619,156692,57.75,31-60
VND01919,2023-Q1,238165,106373,131792,55.34,0-30
VND04128,2023-Q2,482250,170440,311810,64.66,60+
VND01368,2023-Q3,360231,279304,80927,22.47,31-60
VND01368,2023-Q3,487757,468510,19247,3.95,0-30
VND04051,2023-Q1,162577,71726,90851,55.88,31-60
VND00415,2023-Q3,319534,130376,189158,59.2,60+
VND00337,2023-Q2,274223,180866,93357,34.04,0-30
VND00676,2023-Q2,392344,380997,11347,2.89,60+
VND01313,2023-Q1,133400,83831,49569,37.16,31-60
VND00956,2023-Q2,70320,56908,13412,19.07,60+
VND02158,2023-Q1,390875,44366,346509,88.65,31-60
VND01463,2023-Q3,210346,205435,4911,2.33,31-60
VND00285,2023-Q1,91550,83160,8390,9.16,60+
VND02132,2023-Q1,210321,138242,72079,34.27,31-60
VND03426,2023-Q1,241015,44526,196489,81.53,0-30
VND03949,2023-Q2,286815,285429,1386,0.48,31-60
VND00525,2023-Q3,469336,240378,228958,48.78,31-60
VND01862,2023-Q3,339992,112488,227504,66.91,0-30
VND02501,2023-Q2,241431,171595,69836,28.93,0-30
VND00178,2023-Q2,298156,82212,215944,72.43,0-30
VND02985,2023-Q2,237556,107598,129958,54.71,60+
VND00825,2023-Q3,148331,54096,94235,63.53,31-60
VND01833,2023-Q1,92175,81361,10814,11.73,60+
VND03272,2023-Q2,155503,78596,76907,49.46,60+
VND02962,2023-Q3,191657,148049,43608,22.75,31-60
VND04622,2023-Q3,164196,22976,141220,86.01,0-30
VND04597,2023-Q2,314991,251294,63697,20.22,60+
VND01268,2023-Q2,331473,36498,294975,88.99,0-30
VND04096,2023-Q2,420600,186979,233621,55.54,0-30
VND01427,2023-Q3,284126,84748,199378,70.17,60+
VND01974,2023-Q2,498099,262404,235695,47.32,0-30
VND01441,2023-Q2,177926,92522,85404,48.0,31-60
VND02733,2023-Q2,73123,52369,20754,28.38,31-60
VND02512,2023-Q2,415646,399208,16438,3.95,60+
VND01263,2023-Q3,437291,406634,30657,7.01,60+
VND00905,2023-Q2,82648,67650,14998,18.15,60+
VND01282,2023-Q3,395837,204184,191653,48.42,60+
VND04033,2023-Q1,218584,171988,46596,21.32,60+
VND03049,2023-Q2,440762,340764,99998,22.69,31-60
VND03933,2023-Q2,303354,230563,72791,24.0,0-30
VND02816,2023-Q3,57362,55105,2257,3.93,60+
VND03198,2023-Q2,223832,184289,39543,17.67,0-30
VND04774,2023-Q1,396822,69916,326906,82.38,31-60
VND02090,2023-Q3,177215,122748,54467,30.73,60+
VND01199,2023-Q3,457811,421528,36283,7.93,31-60
VND03851,2023-Q3,481384,343540,137844,28.63,31-60
VND02187,2023-Q2,429768,378020,51748,12.04,31-60
VND03337,2023-Q3,498462,474371,24091,4.83,60+
VND03856,2023-Q1,385121,367029,18092,4.7,31-60
VND01212,2023-Q3,95747,43377,52370,54.7,60+
VND02973,2023-Q3,496913,157406,339507,68.32,0-30
VND04370,2023-Q1,290027,235521,54506,18.79,31-60
VND02101,2023-Q1,471930,353907,118023,25.01,60+
VND03120,2023-Q1,265920,117939,147981,55.65,31-60
