vendor_id,mismatch_rate,filing_delay_frequency,gst_status_score,vendor_risk_score,risk_category
VND00631,0.198,0.086,13,11.33,Low
VND00632,0.181,0.078,13,10.35,Low
VND00633,0.116,0.309,5,17.01,Low
VND00634,0.104,0.311,16,16.61,Low
VND00635,0.139,0.073,12,8.48,Low
VND00636,0.215,0.26,11,18.97,Low
VND00637,0.039,0.23,12,10.76,Low
VND00638,0.141,0.171,15,12.48,Low
VND00639,0.131,0.238,12,14.77,Low
VND00640,0.257,0.012,11,10.76,Low
VND00641,0.101,0.051,3,6.11,Low
VND00642,0.169,0.132,7,12.04,Low
VND00643,0.233,0.287,10,20.81,Low
VND00644,0.021,0.318,12,13.55,Low
VND00645,0.192,0.124,9,12.64,Low
VND00646,0.086,0.384,3,18.82,Low
VND00647,0.113,0.222,20,13.41,Low
VND00648,0.218,0.175,18,15.73,Low
VND00649,0.05,0.057,18,4.29,Low
VND00650,0.097,0.331,8,17.14,Low
VND00651,0.254,0.382,11,25.46,Medium
VND00652,0.005,0.39,20,15.8,Low
VND00653,0.275,0.291,9,22.64,Low
VND00654,0.224,0.193,9,16.69,Low
VND00655,0.199,0.108,14,12.3,Low
VND00656,0.248,0.15,1,15.92,Low
VND00657,0.288,0.234,1,20.86,Low
VND00658,0.008,0.191,3,7.99,Low
VND00659,0.28,0.101,10,15.22,Low
VND00660,0.111,0.102,1,8.52,Low
VND00661,0.218,0.347,8,22.58,Low
VND00662,0.167,0.122,0,11.55,Low
VND00663,0.298,0.003,2,12.04,Low
VND00664,0.084,0.304,1,15.53,Low
VND00665,0.259,0.052,1,12.43,Low
VND00666,0.186,0.128,18,12.57,Low
VND00667,0.279,0.134,12,16.51,Low
VND00668,0.013,0.026,19,1.57,Low
VND00669,0.1,0.39,7,19.58,Low
VND00670,0.039,0.033,1,2.87,Low
VND00671,0.298,0.075,20,14.95,Low
VND00672,0.121,0.068,11,7.58,Low
VND00673,0.254,0.081,20,13.42,Low
VND00674,0.042,0.366,17,16.29,Low
VND00675,0.217,0.333,5,21.99,Low
VND00676,0.189,0.295,13,19.36,Low
VND00677,0.194,0.295,20,19.57,Low
VND00678,0.113,0.236,6,13.94,Low
VND00679,0.184,0.255,12,17.53,Low
VND00680,0.002,0.352,2,14.18,Low
VND00681,0.099,0.383,6,19.26,Low
VND00682,0.293,0.254,5,21.89,Low
VND00683,0.156,0.024,16,7.21,Low
VND00684,0.045,0.394,20,17.53,Low
VND00685,0.229,0.155,19,15.35,Low
VND00686,0.034,0.104,17,5.51,Low
VND00687,0.063,0.089,10,6.1,Low
VND00688,0.109,0.206,10,12.59,Low
VND00689,0.018,0.156,15,6.95,Low
VND00690,0.095,0.047,8,5.7,Low
VND00691,0.142,0.266,7,16.32,Low
VND00692,0.015,0.288,7,12.13,Low
VND00693,0.219,0.199,3,16.72,Low
VND00694,0.143,0.135,10,11.1,Low
VND00695,0.145,0.306,17,18.04,Low
VND00696,0.244,0.126,10,14.83,Low
VND00697,0.015,0.168,14,7.33,Low
VND00698,0.271,0.139,1,16.37,Low
VND00699,0.227,0.072,0,11.94,Low
VND00700,0.105,0.147,14,10.1,Low
VND00701,0.234,0.297,9,21.23,Low
VND00702,0.008,0.312,13,12.8,Low
VND00703,0.263,0.285,3,21.93,Low
VND00704,0.052,0.136,16,7.49,Low
VND00705,0.015,0.317,2,13.25,Low
VND00706,0.035,0.258,20,11.69,Low
VND00707,0.277,0.128,13,16.2,Low
VND00708,0.132,0.077,13,8.38,Low
VND00709,0.152,0.169,19,12.84,Low
VND00710,0.096,0.153,14,9.96,Low
VND00711,0.042,0.156,5,7.92,Low
VND00712,0.295,0.23,14,21.01,Low
VND00713,0.102,0.359,15,18.46,Low
VND00714,0.241,0.127,5,14.74,Low
VND00715,0.198,0.069,9,10.71,Low
VND00716,0.165,0.032,18,7.9,Low
VND00717,0.27,0.399,2,26.76,Medium
VND00718,0.247,0.225,2,18.89,Low
VND00719,0.291,0.01,18,12.02,Low
VND00720,0.215,0.32,14,21.41,Low
VND00721,0.286,0.335,2,24.83,Low
VND00722,0.121,0.062,9,7.32,Low
VND00723,0.256,0.368,17,24.95,Low
VND00724,0.28,0.161,11,17.62,Low
VND00725,0.113,0.028,19,5.66,Low
VND00726,0.019,0.145,3,6.55,Low
VND00727,0.115,0.19,2,12.22,Low
VND00728,0.066,0.27,14,13.44,Low
VND00729,0.138,0.114,13,10.06,Low
VND00730,0.287,0.303,19,23.6,Low
VND00731,0.137,0.34,4,19.1,Low
VND00732,0.209,0.107,17,12.65,Low
VND00733,0.195,0.338,14,21.33,Low
VND00734,0.132,0.249,4,15.24,Low
VND00735,0.022,0.267,10,11.55,Low
VND00736,0.104,0.229,12,13.31,Low
VND00737,0.177,0.368,14,21.82,Low
VND00738,0.069,0.111,16,7.21,Low
VND00739,0.23,0.088,14,12.72,Low
VND00740,0.026,0.135,11,6.43,Low
VND00741,0.008,0.057,2,2.62,Low
VND00742,0.164,0.301,8,18.59,Low
VND00743,0.02,0.338,10,14.31,Low
VND00744,0.007,0.376,5,15.32,Low
VND00745,0.141,0.108,3,9.98,Low
VND00746,0.008,0.036,6,1.79,Low
VND00747,0.164,0.127,3,11.65,Low
VND00748,0.258,0.301,19,22.36,Low
VND00749,0.118,0.36,9,19.13,Low
VND00750,0.207,0.034,4,9.65,Low
VND00751,0.025,0.39,15,16.61,Low
VND00752,0.234,0.145,3,15.17,Low
VND00753,0.147,0.24,20,15.47,Low
VND00754,0.233,0.235,8,18.71,Low
VND00755,0.272,0.333,20,24.2,Low
VND00756,0.236,0.197,11,17.34,Low
VND00757,0.103,0.206,20,12.35,Low
VND00758,0.029,0.316,10,13.81,Low
VND00759,0.262,0.292,20,22.13,Low
VND00760,0.035,0.394,4,17.17,Low
VND00761,0.135,0.073,1,8.31,Low
VND00762,0.208,0.194,13,16.07,Low
VND00763,0.056,0.229,11,11.38,Low
VND00764,0.108,0.065,10,6.91,Low
VND00765,0.082,0.033,6,4.57,Low
VND00766,0.165,0.105,16,10.78,Low
VND00767,0.049,0.317,16,14.64,Low
VND00768,0.081,0.038,8,4.75,Low
VND00769,0.188,0.364,11,22.08,Low
VND00770,0.285,0.058,12,13.71,Low
VND00771,0.05,0.203,11,10.12,Low
VND00772,0.05,0.339,3,15.55,Low
VND00773,0.118,0.168,11,11.44,Low
VND00774,0.026,0.392,9,16.71,Low
VND00775,0.044,0.103,16,5.88,Low
VND00776,0.153,0.379,8,21.27,Low
VND00777,0.268,0.257,3,21.0,Low
VND00778,0.19,0.098,17,11.54,Low
VND00779,0.112,0.148,1,10.4,Low
VND00780,0.171,0.186,17,14.3,Low
VND00781,0.128,0.36,15,19.52,Low
VND00782,0.011,0.001,14,0.49,Low
VND00783,0.205,0.071,12,11.04,Low
VND00784,0.17,0.264,7,17.33,Low
VND00785,0.194,0.374,16,22.74,Low
VND00786,0.07,0.032,2,4.08,Low
VND00787,0.089,0.151,15,9.56,Low
VND00788,0.086,0.369,4,18.2,Low
VND00789,0.199,0.092,10,11.64,Low
VND00790,0.108,0.177,8,11.39,Low
VND00791,0.263,0.13,13,15.72,Low
VND00792,0.07,0.213,5,11.29,Low
VND00793,0.25,0.33,16,23.21,Low
VND00794,0.202,0.275,5,19.08,Low
VND00795,0.243,0.022,13,10.59,Low
VND00796,0.126,0.395,16,20.85,Low
VND00797,0.03,0.122,0,6.07,Low
VND00798,0.2,0.007,0,8.29,Low
VND00799,0.133,0.366,9,19.95,Low
VND00800,0.192,0.181,1,14.91,Low
VND00801,0.024,0.186,8,8.4,Low
VND00802,0.266,0.046,5,12.49,Low
VND00803,0.042,0.184,10,9.05,Low
VND00804,0.278,0.175,19,18.1,Low
VND00805,0.15,0.102,18,10.06,Low
VND00806,0.174,0.303,17,19.07,Low
VND00807,0.106,0.095,13,8.02,Low
VND00808,0.077,0.052,19,5.14,Low
VND00809,0.104,0.184,19,11.51,Low
VND00810,0.211,0.156,8,14.68,Low
VND00811,0.259,0.088,10,13.88,Low
VND00812,0.04,0.182,8,8.86,Low
VND00813,0.063,0.202,16,10.61,Low
VND00814,0.009,0.211,5,8.79,Low
VND00815,0.181,0.019,17,8.0,Low
VND00816,0.07,0.142,8,8.48,Low
VND00817,0.059,0.258,8,12.64,Low
VND00818,0.046,0.011,7,2.28,Low
VND00819,0.027,0.132,5,6.34,Low
VND00820,0.11,0.256,12,14.63,Low
VND00821,0.025,0.115,7,5.58,Low
VND00822,0.158,0.25,17,16.31,Low
VND00823,0.226,0.367,9,23.69,Low
VND00824,0.08,0.091,17,6.84,Low
VND00825,0.183,0.281,19,18.58,Low
VND00826,0.004,0.238,7,9.66,Low
VND00827,0.296,0.28,14,23.04,Low
VND00828,0.042,0.328,0,14.79,Low
VND00829,0.077,0.11,2,7.47,Low
VND00830,0.073,0.203,10,11.04,Low
VND00831,0.094,0.227,9,12.87,Low
VND00832,0.071,0.06,11,5.26,Low
VND00833,0.251,0.323,9,22.97,Low
VND00834,0.134,0.264,11,15.91,Low
VND00835,0.231,0.143,14,14.94,Low
VND00836,0.088,0.24,4,13.1,Low
VND00837,0.099,0.275,14,14.96,Low
VND00838,0.121,0.239,11,14.39,Low
VND00839,0.08,0.187,14,10.69,Low
VND00840,0.231,0.375,5,24.25,Low
VND00841,0.025,0.367,17,15.65,Low
VND00842,0.103,0.256,20,14.36,Low
VND00843,0.23,0.219,4,18.0,Low
VND00844,0.102,0.203,10,12.2,Low
VND00845,0.191,0.103,18,11.74,Low
VND00846,0.275,0.354,20,25.14,Medium
VND00847,0.142,0.008,7,6.0,Low
VND00848,0.213,0.069,5,11.25,Low
VND00849,0.078,0.154,12,9.28,Low
VND00850,0.159,0.382,0,21.66,Low
VND00851,0.017,0.322,9,13.56,Low
VND00852,0.103,0.205,1,12.31,Low
VND00853,0.215,0.323,10,21.5,Low
VND00854,0.11,0.384,9,19.74,Low
VND00855,0.213,0.335,18,21.94,Low
VND00856,0.061,0.367,16,17.09,Low
VND00857,0.293,0.239,9,21.28,Low
VND00858,0.299,0.067,0,14.63,Low
VND00859,0.062,0.021,15,3.31,Low
VND00860,0.288,0.177,1,18.59,Low
VND00861,0.297,0.353,20,26.02,Medium
VND00862,0.153,0.387,9,21.64,Low
VND00863,0.124,0.147,10,10.88,Low
VND00864,0.197,0.07,18,10.68,Low
VND00865,0.007,0.268,18,11.01,Low
VND00866,0.242,0.309,8,22.06,Low
VND00867,0.018,0.161,5,7.17,Low
VND00868,0.105,0.276,5,15.26,Low
VND00869,0.052,0.323,7,15.01,Low
VND00870,0.299,0.3,1,23.96,Low
VND00871,0.127,0.332,19,18.39,Low
VND00872,0.167,0.26,7,17.06,Low
VND00873,0.259,0.009,4,10.73,Low
VND00874,0.15,0.371,18,20.87,Low
VND00875,0.027,0.308,12,13.41,Low
VND00876,0.01,0.261,20,10.84,Low
VND00877,0.033,0.176,1,8.33,Low
VND00878,0.036,0.041,14,3.1,Low
VND00879,0.163,0.105,6,10.74,Low
VND00880,0.018,0.152,6,6.82,Low
VND00881,0.201,0.007,5,8.3,Low
VND00882,0.075,0.001,6,3.01,Low
VND00883,0.208,0.323,1,21.21,Low
VND00884,0.202,0.243,9,17.81,Low
VND00885,0.113,0.387,13,20.02,Low
VND00886,0.215,0.189,8,16.18,Low
VND00887,0.005,0.071,7,3.05,Low
VND00888,0.214,0.356,3,22.8,Low
VND00889,0.154,0.214,5,14.72,Low
VND00890,0.174,0.159,4,13.34,Low
VND00891,0.16,0.281,17,17.64,Low
VND00892,0.277,0.231,14,20.32,Low
VND00893,0.119,0.247,16,14.65,Low
VND00894,0.036,0.054,3,3.6,Low
VND00895,0.268,0.067,16,13.4,Low
VND00896,0.022,0.27,13,11.67,Low
VND00897,0.035,0.154,7,7.54,Low
VND00898,0.227,0.196,15,16.94,Low
VND00899,0.061,0.197,10,10.31,Low
VND00900,0.157,0.045,15,8.07,Low
VND00901,0.097,0.189,7,11.41,Low
VND00902,0.067,0.229,3,11.82,Low
VND00903,0.088,0.11,11,7.92,Low
VND00904,0.043,0.187,5,9.19,Low
VND00905,0.06,0.217,12,11.08,Low
VND00906,0.21,0.075,16,11.38,Low
VND00907,0.066,0.078,20,5.79,Low
VND00908,0.012,0.214,15,9.01,Low
VND00909,0.154,0.177,18,13.26,Low
VND00910,0.224,0.108,4,13.28,Low
VND00911,0.154,0.365,20,20.78,Low
VND00912,0.251,0.237,19,19.52,Low
VND00913,0.194,0.038,0,9.3,Low
VND00914,0.153,0.036,19,7.57,Low
VND00915,0.188,0.174,11,14.49,Low
VND00916,0.018,0.142,20,6.39,Low
VND00917,0.003,0.396,1,15.95,Low
VND00918,0.196,0.145,4,13.63,Low
VND00919,0.056,0.303,15,14.37,Low
VND00920,0.103,0.059,6,6.49,Low
VND00921,0.169,0.136,0,12.2,Low
VND00922,0.269,0.073,18,13.69,Low
VND00923,0.106,0.157,5,10.5,Low
VND00924,0.161,0.031,5,7.67,Low
VND00925,0.21,0.14,5,14.0,Low
VND00926,0.031,0.328,12,14.36,Low
VND00927,0.001,0.153,12,6.17,Low
VND00928,0.079,0.347,8,17.03,Low
VND00929,0.044,0.322,15,14.66,Low
VND00930,0.276,0.334,16,24.42,Low
VND00931,0.005,0.165,11,6.82,Low
VND00932,0.097,0.099,14,7.88,Low
VND00933,0.201,0.344,14,21.8,Low
VND00934,0.234,0.241,4,19.0,Low
VND00935,0.156,0.203,10,14.36,Low
VND00936,0.244,0.146,13,15.59,Low
VND00937,0.123,0.02,10,5.71,Low
VND00938,0.015,0.096,10,4.44,Low
VND00939,0.249,0.047,1,11.86,Low
VND00940,0.145,0.193,17,13.54,Low
VND00941,0.146,0.007,14,6.13,Low
VND00942,0.052,0.19,18,9.7,Low
VND00943,0.239,0.029,16,10.72,Low
VND00944,0.299,0.305,9,24.16,Low
VND00945,0.191,0.042,11,9.29,Low
VND00946,0.118,0.074,8,7.68,Low
VND00947,0.147,0.243,3,15.6,Low
VND00948,0.292,0.306,1,23.95,Low
VND00949,0.012,0.399,2,16.43,Low
VND00950,0.278,0.327,15,24.21,Low
VND00951,0.08,0.243,20,12.93,Low
VND00952,0.019,0.184,7,8.11,Low
VND00953,0.159,0.268,5,17.11,Low
VND00954,0.122,0.22,19,13.69,Low
VND00955,0.032,0.296,2,13.14,Low
VND00956,0.176,0.092,15,10.73,Low
VND00957,0.164,0.252,9,16.63,Low
VND00958,0.26,0.38,5,25.6,Medium
VND00959,0.155,0.041,8,7.83,Low
VND00960,0.276,0.058,19,13.36,Low
VND00961,0.101,0.113,17,8.57,Low
VND00962,0.098,0.115,7,8.54,Low
VND00963,0.164,0.081,8,9.79,Low
VND00964,0.12,0.376,15,19.84,Low
VND00965,0.087,0.085,12,6.89,Low
VND00966,0.113,0.354,20,18.68,Low
VND00967,0.224,0.171,1,15.78,Low
VND00968,0.026,0.045,13,2.81,Low
VND00969,0.15,0.381,12,21.23,Low
VND00970,0.19,0.093,4,11.31,Low
VND00971,0.098,0.339,11,17.47,Low
VND00972,0.199,0.3,18,19.96,Low
VND00973,0.296,0.024,10,12.8,Low
VND00974,0.212,0.25,13,18.49,Low
VND00975,0.251,0.087,0,13.55,Low
VND00976,0.173,0.289,14,18.46,Low
VND00977,0.022,0.359,14,15.27,Low
VND00978,0.082,0.019,8,4.02,Low
VND00979,0.151,0.25,19,16.06,Low
VND00980,0.221,0.219,3,17.58,Low
VND00981,0.168,0.347,5,20.62,Low
VND00982,0.167,0.04,11,8.3,Low
VND00983,0.031,0.131,18,6.51,Low
VND00984,0.115,0.104,0,8.76,Low
VND00985,0.051,0.382,12,17.36,Low
VND00986,0.174,0.1,5,10.94,Low
VND00987,0.039,0.22,1,10.36,Low
VND00988,0.112,0.314,18,17.06,Low
VND00989,0.057,0.099,20,6.27,Low
VND00990,0.275,0.026,15,12.06,Low
VND00991,0.195,0.064,11,10.36,Low
VND00992,0.033,0.341,19,14.95,Low
VND00993,0.265,0.292,12,22.28,Low
VND00994,0.102,0.106,1,8.33,Low
VND00995,0.151,0.255,20,16.26,Low
VND00996,0.154,0.102,13,10.24,Low
VND00997,0.176,0.288,13,18.55,Low
VND00998,0.154,0.347,1,20.04,Low
VND00999,0.177,0.352,6,21.18,Low
VND01000,0.154,0.399,18,22.13,Low
VND01001,0.098,0.323,5,16.87,Low
VND01002,0.253,0.361,7,24.54,Low
VND01003,0.178,0.014,2,7.69,Low
VND01004,0.026,0.02,17,1.84,Low
VND01005,0.161,0.398,17,22.36,Low
VND01006,0.155,0.324,15,19.16,Low
VND01007,0.013,0.129,20,5.69,Low
VND01008,0.067,0.211,5,11.15,Low
VND01009,0.141,0.136,6,11.07,Low
VND01010,0.146,0.379,14,20.99,Low
VND01011,0.189,0.109,4,11.92,Low
VND01012,0.285,0.295,11,23.2,Low
VND01013,0.123,0.333,0,18.27,Low
VND01014,0.006,0.108,18,4.56,Low
VND01015,0.17,0.081,13,10.02,Low
VND01016,0.031,0.285,18,12.62,Low
VND01017,0.024,0.26,12,11.33,Low
VND01018,0.236,0.071,5,12.25,Low
VND01019,0.108,0.064,10,6.86,Low
VND01020,0.192,0.018,5,8.4,Low
VND01021,0.236,0.109,12,13.78,Low
VND01022,0.181,0.391,10,22.89,Low
VND01023,0.191,0.34,20,21.25,Low
VND01024,0.122,0.003,9,5.03,Low
VND01025,0.278,0.217,5,19.8,Low
VND01026,0.25,0.13,20,15.21,Low
VND01027,0.09,0.225,19,12.61,Low
VND01028,0.294,0.261,5,22.17,Low
VND01029,0.016,0.044,15,2.43,Low
VND01030,0.056,0.346,9,16.08,Low
VND01031,0.067,0.23,14,11.88,Low
VND01032,0.031,0.271,13,12.09,Low
VND01033,0.083,0.132,8,8.61,Low
VND01034,0.109,0.18,1,11.56,Low
VND01035,0.04,0.131,14,6.83,Low
VND01036,0.157,0.118,15,11.0,Low
VND01037,0.14,0.003,0,5.7,Low
VND01038,0.134,0.0,19,5.38,Low
VND01039,0.223,0.172,3,15.79,Low
VND01040,0.246,0.198,3,17.73,Low
VND01041,0.048,0.364,3,16.5,Low
VND01042,0.229,0.048,8,11.08,Low
VND01043,0.233,0.142,2,14.97,Low
VND01044,0.038,0.117,9,6.19,Low
VND01045,0.105,0.086,18,7.64,Low
VND01046,0.079,0.216,15,11.78,Low
VND01047,0.105,0.182,8,11.48,Low
VND01048,0.032,0.005,13,1.48,Low
VND01049,0.261,0.196,13,18.27,Low
VND01050,0.047,0.32,11,14.68,Low
VND01051,0.166,0.29,9,18.21,Low
VND01052,0.24,0.198,3,17.51,Low
VND01053,0.203,0.214,9,16.68,Low
VND01054,0.05,0.263,13,12.54,Low
VND01055,0.095,0.023,2,4.73,Low
VND01056,0.082,0.256,14,13.52,Low
VND01057,0.107,0.127,12,9.35,Low
VND01058,0.02,0.127,2,5.87,Low
VND01059,0.255,0.139,19,15.77,Low
VND01060,0.008,0.228,11,9.4,Low
VND01061,0.169,0.322,7,19.64,Low
VND01062,0.071,0.012,6,3.31,Low
VND01063,0.181,0.276,0,18.29,Low
VND01064,0.176,0.25,20,17.07,Low
VND01065,0.121,0.005,12,5.07,Low
VND01066,0.173,0.306,3,19.15,Low
VND01067,0.155,0.186,17,13.65,Low
VND01068,0.171,0.083,9,10.17,Low
VND01069,0.234,0.022,13,10.25,Low
VND01070,0.115,0.395,6,20.39,Low
VND01071,0.077,0.006,18,3.33,Low
VND01072,0.053,0.158,2,8.44,Low
VND01073,0.032,0.149,19,7.25,Low
VND01074,0.264,0.215,2,19.16,Low
VND01075,0.1,0.125,7,9.01,Low
VND01076,0.066,0.141,10,8.29,Low
VND01077,0.189,0.29,4,19.15,Low
VND01078,0.224,0.038,13,10.47,Low
VND01079,0.237,0.119,3,14.23,Low
VND01080,0.099,0.331,8,17.21,Low
VND01081,0.019,0.025,17,1.76,Low
VND01082,0.145,0.251,17,15.84,Low
VND01083,0.105,0.212,20,12.69,Low
VND01084,0.05,0.002,10,2.09,Low
VND01085,0.28,0.352,9,25.25,Medium
VND01086,0.043,0.125,3,6.7,Low
VND01087,0.15,0.124,9,10.97,Low
VND01088,0.042,0.146,12,7.53,Low
VND01089,0.161,0.287,16,17.93,Low
VND01090,0.241,0.003,8,9.75,Low
VND01091,0.281,0.046,12,13.06,Low
VND01092,0.21,0.177,17,15.48,Low
VND01093,0.114,0.128,0,9.71,Low
VND01094,0.164,0.007,2,6.81,Low
VND01095,0.273,0.238,14,20.44,Low
VND01096,0.127,0.314,17,17.64,Low
VND01097,0.14,0.379,5,20.79,Low
VND01098,0.286,0.142,5,17.12,Low
VND01099,0.003,0.34,4,13.74,Low
VND01100,0.254,0.024,6,11.11,Low
VND01101,0.222,0.184,7,16.23,Low
VND01102,0.295,0.155,0,18.01,Low
VND01103,0.057,0.395,1,18.11,Low
VND01104,0.086,0.191,15,11.09,Low
VND01105,0.216,0.004,14,8.79,Low
VND01106,0.296,0.27,10,22.63,Low
VND01107,0.039,0.077,8,4.62,Low
VND01108,0.236,0.268,3,20.15,Low
VND01109,0.108,0.034,17,5.66,Low
VND01110,0.122,0.346,10,18.72,Low
VND01111,0.14,0.028,3,6.72,Low
VND01112,0.068,0.189,13,10.31,Low
VND01113,0.061,0.088,19,5.98,Low
VND01114,0.027,0.023,9,2.0,Low
VND01115,0.094,0.289,9,15.32,Low
VND01116,0.246,0.309,16,22.2,Low
VND01117,0.231,0.175,18,16.22,Low
VND01118,0.216,0.055,10,10.87,Low
VND01119,0.013,0.383,0,15.86,Low
VND01120,0.233,0.211,10,17.77,Low
VND01121,0.002,0.316,6,12.72,Low
VND01122,0.01,0.188,2,7.91,Low
VND01123,0.258,0.389,7,25.86,Medium
VND01124,0.09,0.273,8,14.51,Low
VND01125,0.182,0.118,12,11.99,Low
VND01126,0.289,0.015,12,12.15,Low
VND01127,0.039,0.337,20,15.03,Low
VND01128,0.184,0.012,7,7.83,Low
VND01129,0.159,0.229,18,15.49,Low
VND01130,0.184,0.018,19,8.08,Low
VND01131,0.182,0.189,6,14.86,Low
VND01132,0.25,0.329,10,23.16,Low
VND01133,0.252,0.358,17,24.41,Low
VND01134,0.254,0.121,11,15.02,Low
VND01135,0.275,0.097,17,14.86,Low
VND01136,0.186,0.274,10,18.4,Low
VND01137,0.027,0.199,14,9.05,Low
VND01138,0.029,0.204,3,9.3,Low
VND01139,0.299,0.181,18,19.23,Low
VND01140,0.264,0.276,10,21.59,Low
VND01141,0.13,0.1,2,9.23,Low
VND01142,0.058,0.005,19,2.53,Low
VND01143,0.041,0.251,4,11.65,Low
VND01144,0.269,0.182,7,18.06,Low
VND01145,0.239,0.169,2,16.31,Low
VND01146,0.025,0.315,17,13.58,Low
VND01147,0.291,0.013,16,12.18,Low
VND01148,0.195,0.194,7,15.56,Low
VND01149,0.209,0.077,20,11.43,Low
VND01150,0.218,0.233,1,18.05,Low
VND01151,0.117,0.112,6,9.14,Low
VND01152,0.108,0.249,1,14.26,Low
VND01153,0.216,0.182,5,15.9,Low
VND01154,0.008,0.127,2,5.42,Low
VND01155,0.256,0.143,6,15.95,Low
VND01156,0.241,0.296,13,21.47,Low
VND01157,0.176,0.303,17,19.15,Low
VND01158,0.119,0.105,16,8.96,Low
VND01159,0.068,0.364,13,17.28,Low
VND01160,0.149,0.01,8,6.38,Low
VND01161,0.288,0.187,1,18.98,Low
VND01162,0.165,0.009,11,6.99,Low
VND01163,0.277,0.152,2,17.15,Low
VND01164,0.021,0.058,20,3.15,Low
VND01165,0.179,0.293,17,18.88,Low
VND01166,0.096,0.283,12,15.13,Low
VND01167,0.197,0.352,9,21.94,Low
VND01168,0.121,0.166,13,11.49,Low
VND01169,0.273,0.062,8,13.41,Low
VND01170,0.11,0.372,15,19.27,Low
VND01171,0.266,0.314,19,23.21,Low
VND01172,0.248,0.383,11,25.24,Medium
VND01173,0.232,0.198,19,17.22,Low
VND01174,0.265,0.375,9,25.62,Medium
VND01175,0.005,0.258,19,10.49,Low
VND01176,0.102,0.238,6,13.63,Low
VND01177,0.053,0.067,7,4.77,Low
VND01178,0.282,0.234,4,20.63,Low
VND01179,0.123,0.036,19,6.36,Low
VND01180,0.004,0.214,19,8.73,Low
VND01181,0.047,0.039,12,3.44,Low
VND01182,0.021,0.389,20,16.41,Low
VND01183,0.196,0.184,5,15.18,Low
VND01184,0.209,0.137,13,13.84,Low
VND01185,0.218,0.34,15,22.31,Low
VND01186,0.126,0.057,12,7.34,Low
VND01187,0.163,0.207,13,14.83,Low
VND01188,0.156,0.15,2,12.24,Low
VND01189,0.031,0.1,9,5.25,Low
VND01190,0.063,0.308,9,14.81,Low
VND01191,0.114,0.038,13,6.08,Low
VND01192,0.106,0.232,10,13.51,Low
VND01193,0.086,0.055,0,5.65,Low
VND01194,0.147,0.178,0,13.03,Low
VND01195,0.035,0.001,11,1.46,Low
VND01196,0.226,0.223,20,17.96,Low
VND01197,0.051,0.241,2,11.65,Low
VND01198,0.19,0.332,0,20.88,Low
VND01199,0.175,0.148,8,12.93,Low
VND01200,0.174,0.271,7,17.79,Low
VND01201,0.111,0.398,11,20.33,Low
VND01202,0.276,0.359,19,25.37,Medium
VND01203,0.203,0.017,20,8.8,Low
VND01204,0.015,0.384,10,15.98,Low
VND01205,0.048,0.377,1,17.0,Low
VND01206,0.08,0.156,9,9.44,Low
VND01207,0.161,0.374,20,21.41,Low
VND01208,0.206,0.038,11,9.75,Low
VND01209,0.207,0.256,14,18.5,Low
VND01210,0.071,0.348,11,16.78,Low
VND01211,0.129,0.342,17,18.83,Low
VND01212,0.162,0.256,15,16.7,Low
VND01213,0.144,0.143,12,11.49,Low
VND01214,0.143,0.252,11,15.79,Low
VND01215,0.038,0.317,18,14.2,Low
VND01216,0.272,0.317,0,23.53,Low
VND01217,0.109,0.131,16,9.58,Low
VND01218,0.175,0.336,16,20.46,Low
VND01219,0.242,0.044,6,11.44,Low
VND01220,0.118,0.0,16,4.71,Low
VND01221,0.264,0.138,18,16.08,Low
VND01222,0.05,0.306,3,14.27,Low
VND01223,0.234,0.2,9,17.33,Low
VND01224,0.06,0.028,2,3.53,Low
VND01225,0.26,0.25,4,20.41,Low
VND01226,0.155,0.232,2,15.48,Low
VND01227,0.116,0.166,1,11.29,Low
VND01228,0.21,0.24,20,18.03,Low
VND01229,0.086,0.049,13,5.39,Low
VND01230,0.185,0.252,6,17.47,Low
VND01231,0.062,0.126,3,7.55,Low
VND01232,0.202,0.146,16,13.92,Low
VND01233,0.15,0.353,4,20.13,Low
VND01234,0.043,0.28,20,12.9,Low
VND01235,0.289,0.207,5,19.84,Low
VND01236,0.272,0.28,11,22.05,Low
VND01237,0.097,0.045,12,5.69,Low
VND01238,0.227,0.028,0,10.2,Low
VND01239,0.17,0.359,16,21.15,Low
VND01240,0.252,0.315,15,22.66,Low
VND01241,0.078,0.117,16,7.78,Low
VND01242,0.067,0.33,7,15.87,Low
VND01243,0.098,0.112,10,8.41,Low
VND01244,0.219,0.326,10,21.8,Low
VND01245,0.27,0.263,6,21.29,Low
VND01246,0.128,0.008,10,5.42,Low
VND01247,0.029,0.039,16,2.74,Low
VND01248,0.084,0.318,13,16.11,Low
VND01249,0.047,0.143,10,7.58,Low
VND01250,0.047,0.384,15,17.23,Low
VND01251,0.102,0.357,19,18.36,Low
VND01252,0.154,0.181,12,13.39,Low
VND01253,0.234,0.107,0,13.64,Low
VND01254,0.165,0.108,11,10.93,Low
VND01255,0.238,0.19,15,17.15,Low
VND01256,0.262,0.337,13,23.98,Low
VND01257,0.024,0.214,17,9.51,Low
VND01258,0.057,0.105,14,6.5,Low
VND01259,0.135,0.11,0,9.82,Low
VND01260,0.122,0.325,6,17.87,Low
VND01261,0.052,0.109,7,6.45,Low
VND01262,0.023,0.174,2,7.88,Low
VND01263,0.221,0.033,6,10.17,Low
